,Stasiun,Rata-rata-RMSE,Rata-rata-R
0,Aotizhongxin,0.052916388750650065,0.6450886795209343
1,Changping,0.03976372532366621,0.6959666009822205
2,Dingling,0.043916465731646384,0.6763856113847015
3,Dongsi,0.06840597042845947,0.658381351255031
4,Guanyuan,0.0724636843854703,0.6333043074954059
5,Gucheng,0.07497794715710657,0.5305503174623534
6,Huairou,0.058822671641130475,0.5865895623037101
7,Nongzhanguan,0.0509548181984744,0.7246892564099654
8,Shunyi,0.05006701428778713,0.6660825147765971
9,Tiantan,0.060021768914657915,0.6155105152392516
10,Wanliu,0.05064794410744901,0.6139122015042602
11,Wanshouxigong,0.05237683279153965,0.6170791005601146
