,Stasiun,Rata-rata-RMSE,Rata-rata-R
0,Aotizhongxin,0.03361775224304789,0.7358976298847912
1,Changping,0.027562511945492203,0.787853047612614
2,Dingling,0.029239453567298318,0.7620305548609189
3,Dongsi,0.03693164383012823,0.7753381902478451
4,Guanyuan,0.043694189200311054,0.7287257654421186
5,Gucheng,0.0369255215543705,0.7122430092199606
6,Huairou,0.02991747394724491,0.7754151609460134
7,Nongzhanguan,0.03435360435467166,0.7691857818021012
8,Shunyi,0.030304078947533813,0.7666917756053889
9,Tiantan,0.03444390772977087,0.7607206893346529
10,Wanliu,0.03558770072814022,0.696225116058853
11,Wanshouxigong,0.033975855652556466,0.7388378908138772
