,Stasiun,Rata-rata-RMSE,Rata-rata-R
0,Aotizhongxin,0.04683582730473777,0.7360275131773416
1,Changping,0.03688508369533189,0.7389583733888825
2,Dingling,0.04024613985608057,0.7356021530867675
3,Dongsi,0.060583520073445675,0.7423959283782221
4,Guanyuan,0.06290341538275702,0.7276283105166146
5,Gucheng,0.06592693549298338,0.647787631976275
6,Huairou,0.05004397801834397,0.6995530578344029
7,Nongzhanguan,0.04513570595514914,0.7898545205289047
8,Shunyi,0.04382221418674955,0.7466730150604651
9,Tiantan,0.05122304206887172,0.7199686968073553
10,Wanliu,0.0454799788213397,0.6978145042895486
11,Wanshouxigong,0.04686876298356395,0.7059272262288279
