,index,PM2.5,PM10,SO2,NO2,CO
0,0,0.0011173184357541905,0.002036659877800407,0.010901799278222464,0.017361111111111112,0.020202020202020204
1,1,0.00558659217877095,0.006109979633401222,0.010901799278222464,0.017361111111111112,0.020202020202020204
2,2,0.004469273743016759,0.0050916496945010185,0.013836808775913199,0.027777777777777776,0.020202020202020204
3,3,0.00335195530726257,0.004073319755600814,0.0314468657620576,0.03125,0.020202020202020204
4,4,4.961890612849861e-19,0.0010183299389002036,0.03438187525974834,0.034722222222222224,0.020202020202020204
5,5,0.0022346368715083806,0.003054989816700611,0.05199193224589275,0.05555555555555555,0.030303030303030304
6,6,4.961890612849861e-19,0.0010183299389002036,0.05199193224589275,0.10416666666666667,0.04040404040404041
7,7,4.961890612849861e-19,0.004073319755600814,0.054926941743583486,0.13541666666666666,0.04040404040404041
8,8,4.961890612849861e-19,0.004073319755600814,0.04612191325051128,0.1423611111111111,0.04040404040404041
9,9,4.961890612849861e-19,0.006109979633401222,0.03438187525974834,0.09027777777777778,0.030303030303030304
10,10,4.961890612849861e-19,0.004073319755600814,0.025576846766676136,0.034722222222222224,0.030303030303030304
11,11,4.961890612849861e-19,0.004073319755600814,0.025576846766676136,0.041666666666666664,0.030303030303030304
12,12,4.961890612849861e-19,0.004073319755600814,0.019706827771294667,0.03819444444444445,0.020202020202020204
13,13,4.961890612849861e-19,0.004073319755600814,0.019706827771294667,0.034722222222222224,0.030303030303030304
14,14,0.00335195530726257,0.007128309572301426,0.019706827771294667,0.03125,0.030303030303030304
15,15,0.00558659217877095,0.013238289205702648,0.019706827771294667,0.041666666666666664,0.030303030303030304
16,16,0.0067039106145251395,0.017311608961303463,0.025576846766676136,0.03819444444444445,0.030303030303030304
17,17,0.00782122905027933,0.021384928716904276,0.0314468657620576,0.04513888888888889,0.030303030303030304
18,18,0.008938547486033519,0.018329938900203666,0.0226418372689854,0.0625,0.04040404040404041
19,19,0.00558659217877095,0.012219959266802444,0.03438187525974834,0.09722222222222222,0.04040404040404041
20,20,0.008938547486033519,0.015274949083503055,0.03731688475743907,0.1076388888888889,0.050505050505050504
21,21,0.01005586592178771,0.016293279022403257,0.04612191325051128,0.11458333333333333,0.04040404040404041
22,22,0.013407821229050279,0.017311608961303463,0.060796960738964956,0.1909722222222222,0.06060606060606061
23,23,0.02346368715083799,0.02240325865580448,0.07547200822741862,0.18055555555555555,0.050505050505050504
24,24,0.021229050279329607,0.02240325865580448,0.06960198923203716,0.14583333333333334,0.04040404040404041
25,25,0.012290502793296089,0.015274949083503055,0.060796960738964956,0.11805555555555555,0.030303030303030304
26,26,0.0111731843575419,0.01120162932790224,0.05786195124127422,0.12152777777777778,0.030303030303030304
27,27,4.961890612849861e-19,0.007128309572301426,0.03731688475743907,0.1111111111111111,0.030303030303030304
28,28,4.961890612849861e-19,0.0050916496945010185,0.05199193224589275,0.1423611111111111,0.030303030303030304
29,29,0.0067039106145251395,0.009164969450101833,0.054926941743583486,0.2361111111111111,0.04040404040404041
30,30,0.0011173184357541905,0.008146639511201629,0.0813420272228001,0.1527777777777778,0.04040404040404041
31,31,4.961890612849861e-19,0.009164969450101833,0.0989520842089445,0.19444444444444445,0.04040404040404041
32,32,4.961890612849861e-19,0.0050916496945010185,0.060796960738964956,0.16319444444444445,0.04040404040404041
33,33,0.00782122905027933,0.012219959266802444,0.13710720767892404,0.20833333333333334,0.06060606060606061
34,34,0.008938547486033519,0.017311608961303463,0.10482210320432596,0.2013888888888889,0.050505050505050504
35,35,0.01675977653631285,0.0274949083503055,0.10482210320432596,0.2361111111111111,0.0707070707070707
36,36,0.02569832402234637,0.028513238289205704,0.0725369987297279,0.2569444444444444,0.08080808080808081
37,37,0.024581005586592177,0.031568228105906315,0.05786195124127422,0.1909722222222222,0.06060606060606061
38,38,0.02569832402234637,0.03360488798370672,0.0637319702366557,0.18055555555555555,0.06060606060606061
39,39,0.03798882681564246,0.038696537678207736,0.06960198923203716,0.1840277777777778,0.06060606060606061
40,40,0.03798882681564246,0.04480651731160896,0.08427703672049083,0.21180555555555555,0.09090909090909091
41,41,0.04581005586592179,0.05702647657841141,0.13123718868354256,0.2604166666666667,0.1111111111111111
42,62,0.07709497206703911,0.10590631364562118,0.0901470557158723,0.1909722222222222,0.08080808080808081
43,63,0.05027932960893855,0.11405295315682282,0.04025189425512981,0.052083333333333336,0.04040404040404041
44,64,0.027932960893854747,0.09979633401221996,0.03438187525974834,0.052083333333333336,0.030303030303030304
45,65,0.02569832402234637,0.10285132382892057,0.025576846766676136,0.059027777777777776,0.030303030303030304
46,66,0.02346368715083799,0.0814663951120163,0.0226418372689854,0.08680555555555555,0.04040404040404041
47,70,0.05698324022346369,0.10488798370672098,0.0813420272228001,0.3055555555555556,0.1111111111111111
48,71,0.048044692737430165,0.09368635437881874,0.08427703672049083,0.2847222222222222,0.1111111111111111
49,73,0.05139664804469274,0.07942973523421588,0.11362713169739816,0.2152777777777778,0.09090909090909091
50,74,0.034636871508379886,0.06109979633401222,0.06519947498550105,0.041666666666666664,0.020202020202020204
51,75,0.01005586592178771,0.032586558044806514,0.016771818273603935,0.034722222222222224,0.025252525252525252
52,76,0.004469273743016759,0.016293279022403257,0.04025189425512981,0.0920138888888889,0.030303030303030304
53,77,0.00782122905027933,0.02240325865580448,0.05199193224589275,0.14930555555555555,0.030303030303030304
54,78,0.0111731843575419,0.03054989816700611,0.06960198923203716,0.21875,0.04040404040404041
55,79,0.012290502793296089,0.034623217922606926,0.08721204621818156,0.2361111111111111,0.050505050505050504
56,80,0.0111731843575419,0.03360488798370672,0.11069212219970742,0.2361111111111111,0.06060606060606061
57,81,0.013407821229050279,0.03054989816700611,0.07547200822741862,0.11805555555555555,0.04040404040404041
58,82,0.01452513966480447,0.02240325865580448,0.0637319702366557,0.11805555555555555,0.050505050505050504
59,83,0.01675977653631285,0.031568228105906315,0.05199193224589275,0.08680555555555555,0.030303030303030304
60,84,0.0111731843575419,0.026476578411405296,0.03438187525974834,0.041666666666666664,0.030303030303030304
61,85,4.961890612849861e-19,0.010183299389002037,0.019706827771294667,0.034722222222222224,0.020202020202020204
62,86,4.961890612849861e-19,0.008146639511201629,0.0226418372689854,0.03819444444444445,0.030303030303030304
63,87,0.00782122905027933,0.01120162932790224,0.025576846766676136,0.04513888888888889,0.030303030303030304
64,88,0.012290502793296089,0.018329938900203666,0.028511856264366867,0.1111111111111111,0.04040404040404041
65,89,0.01899441340782123,0.031568228105906315,0.04025189425512981,0.13194444444444445,0.04040404040404041
66,90,0.024581005586592177,0.04276985743380855,0.03731688475743907,0.1423611111111111,0.050505050505050504
67,91,0.03128491620111732,0.062118126272912425,0.04905692274820202,0.2048611111111111,0.06060606060606061
68,92,0.034636871508379886,0.0835030549898167,0.05199193224589275,0.2569444444444444,0.0707070707070707
69,93,0.041340782122905026,0.0845213849287169,0.1165621411950889,0.2569444444444444,0.0707070707070707
70,187,0.09050279329608939,0.12321792260692464,0.1341721981812333,0.2465277777777778,0.10101010101010101
71,188,0.09832402234636871,0.10386965376782077,0.14004221717661477,0.21875,0.09090909090909091
72,189,0.08715083798882682,0.08655804480651731,0.1253671696881611,0.2048611111111111,0.10101010101010101
73,190,0.09720670391061452,0.10183299389002037,0.13123718868354256,0.22916666666666666,0.13121212121212122
74,191,0.08491620111731843,0.0845213849287169,0.15471726466506844,0.21180555555555555,0.1414141414141414
75,211,0.013407821229050279,0.10692464358452139,0.013836808775913199,0.027777777777777776,0.030303030303030304
76,212,0.01675977653631285,0.10386965376782077,0.010901799278222464,0.017361111111111112,0.030303030303030304
77,213,0.01005586592178771,0.05702647657841141,0.010901799278222464,0.020833333333333332,0.030303030303030304
78,214,0.008938547486033519,0.032586558044806514,0.016771818273603935,0.020833333333333332,0.020202020202020204
79,215,0.00335195530726257,0.017311608961303463,0.0226418372689854,0.027777777777777776,0.030303030303030304
80,216,0.008938547486033519,0.013238289205702648,0.016771818273603935,0.04861111111111111,0.030303030303030304
81,217,0.008938547486033519,0.014256619144602852,0.028511856264366867,0.0798611111111111,0.030303030303030304
82,218,0.00335195530726257,0.016293279022403257,0.04025189425512981,0.13541666666666666,0.030303030303030304
83,219,0.00782122905027933,0.023421588594704685,0.04905692274820202,0.1840277777777778,0.04040404040404041
84,220,0.01675977653631285,0.062118126272912425,0.04905692274820202,0.2569444444444444,0.04040404040404041
85,221,0.02011173184357542,0.03360488798370672,0.05199193224589275,0.2708333333333333,0.06060606060606061
86,222,0.01675977653631285,0.019348268839103868,0.060796960738964956,0.2465277777777778,0.0707070707070707
87,223,0.02346368715083799,0.04480651731160896,0.060796960738964956,0.2777777777777778,0.1414141414141414
88,224,0.03128491620111732,0.07331975560081466,0.09601707471125376,0.2847222222222222,0.12121212121212122
89,225,0.02569832402234637,0.07433808553971487,0.0989520842089445,0.2326388888888889,0.08080808080808081
90,226,0.026815642458100558,0.062118126272912425,0.0813420272228001,0.1840277777777778,0.06060606060606061
91,227,0.030167597765363128,0.05804480651731161,0.05786195124127422,0.13194444444444445,0.0707070707070707
92,228,0.027932960893854747,0.054989816700611,0.060796960738964956,0.1111111111111111,0.06060606060606061
93,229,0.034636871508379886,0.05091649694501019,0.05786195124127422,0.09722222222222222,0.050505050505050504
